,epochs,batch_size,rmse,mape
0,100,16,0.15590590712796254,16.59351768683593
1,100,32,0.1672958924250024,16.772210475617673
2,120,16,0.17719321525765144,16.945825893448323
3,120,32,0.15188761963773048,16.58461056165109
4,140,16,0.1633537942667465,16.88937513713642
5,140,32,0.14893224597635416,16.54930413173536
6,160,16,0.16210434929371842,16.223815294613136
7,160,32,0.15175844656075324,16.69102039749438
8,180,16,0.17141914226086083,16.93230507553693
9,180,32,0.15531342820447086,16.444290724076968
10,200,16,0.16112137769999818,16.17513874971466
11,200,32,0.1542139224319456,16.325298454149856
12,250,16,0.1574017985995619,16.649831907088856
13,250,32,0.15424955074595684,16.716530916896644
