,param,original,after_tuning
0,N,9.0,15.0
1,lstm_units,140.0,120.0
2,dropout_prob,0.2,0.2
3,epochs,120.0,160.0
4,batch_size,16.0,16.0
5,mse,0.026841438577843282,0.021773513907901835
6,rmse,0.16383356975248778,0.1475585101168409
7,mape,16.783581469984384,16.356505653008124
