,N,rmse,mape
0,6,0.15177064902583423,17.16725669789305
1,9,0.15085619069149905,16.994578152202227
2,12,0.148206790184689,16.693483877385724
3,15,0.1467551929617625,16.456716328788968
4,18,0.15121008820824014,16.313702741088253
5,21,0.18884217797555966,15.66297243576908
